2_2_2: 22, 8.333333333333334; 12, 5.0, 5.0, 5.0
2_2_3: 25, 5.6571428571428575; 21, 4.857142857142857, 4.793597304128054, 4.830665543386689
2_2_4: 48, 8.2; 31, 5.633333333333333, 5.316720257234727, 5.339228295819936
2_2_5: 65, 8.267857142857142; 40, 5.357142857142858, 5.098674521354933, 5.17820324005891
2_2_6: 54, 6.215686274509803; 42, 4.882352941176471, 4.807253886010363, 4.807253886010363
2_2_7: 85, 7.991341991341991; 64, 6.082251082251082, 5.522202007950947, 5.555892460076814
2_2_8: 108, 8.833333333333334; 73, 6.166666666666667, 5.658256880733945, 5.674311926605505
2_3_3: 58, 8.277777777777779; 42, 6.166666666666666, 6.115044247787611, 6.115044247787611
2_3_4: 88, 9.488095238095237; 60, 6.4226190476190474, 6.1842672413793105, 6.189655172413793
2_3_5: 113, 9.275438596491227; 75, 6.224561403508773, 6.06723259762309, 6.026485568760611
2_4_4: 122, 9.466666666666667; 96, 7.133333333333333, 7.076365393910102, 7.076365393910102
2_4_5: 201, 11.673043478260869; 123, 6.934046822742475, 6.891458193785129, 6.943355563968897
2_5_5: 283, 13.366666666666665; 156, 7.2, 7.004878048780488, 7.004878048780488
3_3_3: 118, 9.428571428571429; 80, 6.7142857142857135, 6.714285714285714, 6.714285714285714
3_3_4: 151, 9.538235294117648; 106, 6.961764705882353, 6.945221495691335, 6.930151994110769
3_3_5: 192, 9.603174603174605; 131, 6.8465608465608465, 6.7582173825368015, 6.753377697116354
3_4_4: 207, 9.416083916083917; 171, 7.9475524475524475, 7.84926190838533, 7.860827880079135
3_4_5: 298, 10.52496693121693; 228, 8.262003968253968, 8.253973638785508, 8.251628867625197
3_4_11: 701, 10.997727696032781; 512, 7.985081020674242, 8.023234381379016, 8.079844471744243
3_5_5: 369, 10.412966878083157; 300, 8.5968992248062, 8.441671460311262, 8.43861056431312
3_5_9: 670, 10.03974358974359; 560, 8.429487179487179, 8.299763033175356, 8.324644549763033
4_4_4: 468, 15.18181818181818; 222, 7.7272727272727275, 7.7272727272727275, 7.7272727272727275
4_4_5: 474, 11.720435428005938; 332, 8.52102919346858, 8.50853488858882, 8.527151986275225
4_5_5: 549, 11.143207282913165; 437, 9.055672268907562, 8.9720357316027, 9.018984745067323
